               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10087,            0.083966,            0.037535,             0.47089,             0.10753,             0.12069,            0.034184,            0.078947,            0.052331,            0.031565,             0.00161,             0.00161,             0.08551
                   1,            0.074954,             0.07949,            0.026275,             0.29065,             0.41524,             0.30773,             0.10407,            0.064388,            0.038093,            0.023995,           0.0032271,           0.0032271,            0.070927
                   2,            0.070116,            0.069609,            0.021223,             0.65695,             0.32634,             0.35705,             0.11878,            0.064683,            0.034298,            0.020557,           0.0048328,           0.0048328,            0.056333
                   3,            0.068366,             0.06661,            0.019136,             0.64007,             0.37613,             0.40222,             0.16957,            0.062094,            0.031554,            0.019523,           0.0064184,           0.0064184,            0.041718
                   4,            0.066827,            0.066283,            0.017916,             0.31822,             0.60672,             0.40694,             0.15312,            0.058921,            0.032119,            0.018313,           0.0079756,           0.0079756,            0.027076
                   5,            0.068322,            0.055164,            0.016413,             0.44598,             0.65085,             0.49406,             0.17492,            0.063035,            0.031212,             0.01633,           0.0094961,           0.0094961,            0.012396
                   6,            0.061944,            0.064372,            0.014865,             0.50778,             0.68062,              0.5567,             0.23496,            0.054859,            0.030857,            0.013627,            0.009684,            0.009684,            0.009684
                   7,            0.055376,            0.061142,            0.014272,             0.55196,             0.65719,             0.62052,             0.26509,             0.04863,            0.031373,            0.012438,            0.009684,            0.009684,            0.009684
                   8,            0.055966,            0.066155,            0.012786,             0.72188,              0.7043,             0.75213,             0.33645,            0.044637,            0.031108,            0.011999,           0.0095717,           0.0095717,           0.0095717
                   9,             0.04958,            0.065542,             0.01152,              0.8062,             0.70954,             0.78359,             0.41489,            0.039626,            0.032179,            0.010737,           0.0094434,           0.0094434,           0.0094434
                  10,            0.049297,             0.06373,            0.010855,             0.68239,             0.74408,             0.76818,             0.41264,            0.039437,            0.032248,            0.013966,           0.0092995,           0.0092995,           0.0092995
